iter	Passed	Remaining
0	1	1047
1	3	1184
2	4	1059
3	5	1001
4	6	968
5	8	1000
6	9	1058
7	10	1018
8	12	991
9	13	970
10	14	948
11	15	935
12	16	945
13	17	936
14	18	920
15	19	908
16	21	921
17	22	916
18	23	920
19	25	914
20	26	904
21	27	902
22	28	893
23	29	885
24	30	876
25	31	874
26	32	875
27	33	869
28	34	860
29	35	853
30	36	848
31	37	843
32	38	842
33	39	837
34	40	832
35	41	828
36	42	823
37	43	824
38	45	824
39	46	821
40	47	816
41	48	813
42	49	809
43	50	808
44	51	807
45	52	803
46	53	799
47	54	796
48	55	793
49	56	791
50	57	788
51	58	784
52	59	782
53	60	780
54	61	778
55	62	776
56	63	773
57	64	771
58	65	769
59	66	767
60	67	766
61	69	767
62	70	766
63	71	764
64	72	762
65	73	765
66	75	767
67	76	770
68	78	773
69	79	776
70	81	775
71	82	774
72	83	773
73	84	775
74	85	773
75	87	771
76	88	770
77	89	769
78	90	769
79	91	766
80	92	767
81	94	769
82	95	770
83	97	770
84	98	768
85	99	765
86	100	763
87	101	763
88	102	762
89	103	761
90	105	761
91	106	762
92	107	762
93	108	760
94	109	756
95	110	753
96	111	751
97	112	748
98	113	747
99	114	745
100	115	743
101	117	743
102	118	744
103	119	745
104	121	744
105	122	744
106	123	745
107	125	745
108	126	744
109	128	745
110	129	744
111	130	742
112	131	741
113	132	738
114	133	736
115	134	733
116	135	731
117	136	730
118	137	729
119	138	727
120	139	724
121	140	723
122	141	721
123	142	719
124	143	719
125	145	718
126	146	717
127	147	716
128	148	716
129	149	715
130	151	714
131	152	712
132	153	710
133	154	709
134	155	707
135	156	706
136	157	705
137	158	704
138	160	703
139	161	702
140	162	700
141	163	699
142	164	698
143	165	696
144	166	695
145	167	694
146	169	693
147	170	692
148	171	692
149	172	691
150	173	690
151	174	688
152	175	686
153	177	685
154	177	683
155	178	681
156	179	679
157	180	677
158	181	675
159	182	674
160	184	673
161	185	671
162	186	670
163	187	668
164	188	667
165	189	666
166	190	665
167	191	663
168	192	662
169	193	661
170	195	662
171	197	662
172	198	662
173	200	663
174	201	663
175	203	663
176	204	662
177	205	661
178	206	660
179	208	658
180	209	657
181	210	656
182	211	655
183	212	653
184	213	651
185	214	650
186	215	649
187	217	648
188	218	648
189	219	647
190	220	646
191	222	646
192	223	645
193	224	643
194	225	642
195	226	640
196	227	638
197	228	636
198	229	635
199	230	634
200	231	632
201	232	630
202	233	629
203	234	627
204	235	626
205	236	624
206	237	622
207	238	621
208	239	619
209	240	618
210	241	617
211	242	615
212	243	614
213	244	612
214	245	611
215	246	610
216	247	608
217	248	607
218	249	605
219	250	604
220	251	603
221	253	601
222	254	601
223	255	600
224	257	600
225	258	599
226	260	599
227	261	597
228	262	596
229	263	595
230	264	594
231	265	593
232	266	592
233	268	591
234	270	591
235	271	590
236	272	589
237	273	588
238	275	588
239	276	586
240	276	584
241	277	583
242	278	581
243	280	580
244	281	579
245	282	578
246	283	577
247	284	576
248	285	575
249	287	574
250	288	572
251	289	571
252	290	570
253	291	569
254	293	568
255	294	568
256	295	567
257	297	567
258	299	566
259	300	565
260	301	564
261	302	563
262	303	561
263	304	561
264	305	559
265	306	558
266	307	556
267	308	555
268	310	554
269	311	553
270	312	553
271	314	552
272	316	552
273	317	551
274	318	549
275	319	548
276	320	546
277	321	545
278	322	544
279	324	543
280	325	542
281	326	541
282	327	541
283	329	540
284	330	539
285	332	539
286	333	538
287	335	538
288	337	537
289	338	537
290	340	536
291	341	535
292	342	533
293	343	533
294	345	532
295	346	532
296	348	531
297	349	530
298	351	530
299	352	528
300	353	527
301	355	526
302	356	525
303	357	524
304	358	522
305	359	520
306	360	519
307	361	518
308	363	518
309	364	517
310	365	516
311	366	515
312	368	513
313	369	512
314	370	511
315	372	511
316	373	510
317	374	508
318	375	507
319	376	505
320	377	503
321	378	502
322	379	501
323	380	499
324	381	498
325	382	497
326	383	495
327	384	494
328	385	493
329	386	492
330	388	491
331	389	490
332	390	489
333	391	488
334	392	486
335	394	485
336	395	484
337	397	483
338	398	482
339	399	481
340	400	480
341	402	480
342	403	479
343	404	477
344	406	476
345	407	475
346	408	474
347	409	473
348	410	471
349	411	470
350	412	469
351	413	467
352	414	466
353	416	465
354	417	464
355	418	463
356	419	461
357	420	460
358	421	459
359	422	458
360	423	456
361	425	455
362	426	454
363	427	453
364	428	451
365	429	450
366	430	448
367	431	447
368	432	446
369	433	445
370	434	443
371	435	442
372	436	441
373	437	439
374	438	438
375	439	436
376	440	435
377	441	434
378	442	432
379	443	431
380	444	430
381	445	429
382	446	427
383	447	426
384	448	425
385	450	424
386	451	423
387	452	421
388	453	420
389	454	419
390	455	418
391	456	416
392	457	415
393	458	414
394	459	413
395	460	411
396	461	410
397	462	409
398	463	407
399	464	406
400	465	405
401	466	403
402	467	402
403	468	401
404	469	399
405	470	398
406	472	397
407	473	396
408	474	395
409	475	394
410	476	392
411	477	391
412	478	390
413	479	388
414	480	387
415	481	386
416	482	385
417	483	383
418	484	382
419	485	381
420	486	379
421	487	378
422	488	377
423	489	376
424	490	375
425	492	374
426	493	373
427	494	372
428	496	371
429	497	370
430	498	369
431	500	368
432	501	367
433	502	365
434	503	364
435	504	363
436	506	362
437	508	362
438	509	361
439	510	359
440	512	359
441	513	357
442	515	356
443	516	356
444	517	355
445	518	353
446	519	352
447	520	351
448	521	349
449	522	348
450	524	347
451	525	346
452	525	344
453	527	343
454	528	342
455	529	341
456	530	339
457	530	338
458	531	337
459	532	335
460	533	334
461	534	333
462	535	332
463	537	331
464	538	329
465	539	328
466	540	327
467	541	326
468	542	325
469	544	324
470	545	323
471	547	322
472	548	321
473	549	320
474	550	318
475	552	317
476	553	316
477	554	315
478	555	314
479	557	313
480	558	312
481	559	311
482	560	309
483	561	308
484	562	307
485	563	306
486	564	305
487	565	303
488	566	302
489	567	301
490	568	300
491	570	298
492	571	297
493	572	296
494	572	295
495	573	293
496	574	292
497	575	291
498	576	290
499	577	288
500	578	287
501	579	286
502	580	285
503	581	284
504	582	282
505	583	281
506	584	280
507	585	279
508	586	277
509	587	276
510	588	275
511	590	274
512	591	273
